MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
105,0,298.12,105
133,0,332.13,133
161,0.35,50.9,161
189,0.44,52.84,189
213,0.35,55.48,213
246,1.55,30.64,245.99
286,3.26,11.43,285.96
314,4.41,13.01,313.9
343,5.9,14.07,342.78
372,6.43,14.78,371.61
399,6.96,14.95,398.43
427,7.14,11.78,426.22
455,7.4,11.43,453.99
483,7.49,10.55,481.75
511,7.75,11.43,509.51
539,7.22,11.25,537.27
555,7.34,12.52,553.14
583,7.31,10.55,580.91
612,7.06,8.65,609.68
640,6.84,9.3,637.48
668,6.77,10.94,665.28
696,6.47,11.69,693.09
725,6.55,10.48,721.91
753,6.44,10.8,749.73
782,6.09,11.87,778.55
811,5.61,13.03,807.4
839,5.13,14.31,835.28
867,4.7,12.02,863.18
895,4.81,11.19,891.08
923,5.09,11.52,918.98
951,5.62,12.21,946.85
979,5.08,15.06,974.73
1007,4.81,17.17,1002.63
1036,5.73,14.65,1031.5
1065,5.44,14.99,1060.37
1108,4.49,13.84,1103.21
1137,5.41,6.02,1132.1
1165,6.02,5.88,1159.96
1193,7.65,11.46,1187.76
1222,9.43,16.2,1216.44
1250,10.91,18.05,1244
1279,13.14,21.27,1272.36
1306,14.52,22.52,1298.58
1334,16.48,24.73,1325.56
1363,18.98,25.74,1353.18
1391,21.23,27.02,1379.48
1416,22.94,27.6,1402.64
1451,19.02,32.54,1435.32
1479,19.86,32.49,1461.73
1507,20.12,32.93,1488.04
1536,21.86,31.36,1515.11
1564,23.55,30.63,1540.94
1592,26.08,30.73,1566.36
1621,28.43,29.99,1592.14
1649,31.09,29.4,1616.45
1679,34.72,30.3,1641.63
1707,37.75,29.87,1664.22
1735,40.78,29.72,1685.9
1762,43.75,29.57,1705.88
1790,46.47,29.83,1725.64
1818,48.48,30.12,1744.57
1847,48.7,30.06,1763.75
1876,49.49,30.31,1782.74
1905,49.59,30.22,1801.55
1933,49.47,30.03,1819.73
1961,49.34,30.09,1837.95
1989,49.46,29.98,1856.17
2017,49.5,30.02,1874.36
2045,49.76,30.12,1892.5
2073,49.54,30.1,1910.63
2102,49.59,30.52,1929.44
2130,49.92,30.5,1947.53
2158,50.16,30.43,1965.51
2186,50.92,30.59,1983.3
2214,51.14,30.47,2000.91
2243,51.14,30.07,2019.11
2271,51.69,29.69,2036.57
2300,51.82,29.4,2054.52
2329,52.2,29.2,2072.37
2358,52.36,29.31,2090.12
2386,52.86,29.3,2107.12
2414,52.82,29.28,2124.03
2442,53.26,28.89,2140.87
2470,53.64,29.15,2157.54
2498,53.69,29.57,2174.13
2526,53.99,30.69,2190.65
2554,54.06,31.82,2207.1
2582,54.08,34.8,2223.53
2612,53.51,37.7,2241.25
2640,56.35,39.01,2257.34
2668,58.55,40.76,2272.4
2698,62.69,41.82,2287.12
2726,64.6,42.51,2299.55
2754,63.7,44.38,2311.76
2782,65.35,47.67,2323.8
2810,65.84,50.86,2335.37
2837,65.61,53.6,2346.47
2865,65.74,56.82,2358.01
2893,65.01,60.77,2369.67
2921,64.78,64.55,2381.55
2951,64.65,68.92,2394.37
2979,64.63,71.87,2406.36
3009,64.87,76.74,2419.16
3037,64.8,80.53,2431.06
3065,64.79,83.83,2442.99
3093,64.41,87.56,2455
3121,64.45,90.72,2467.08
3149,64.36,93.86,2479.18
3177,64.63,97.25,2491.24
3205,65.69,97.07,2503
3221,65.5,96.91,2509.61
3230,65.47,97.05,2513.34
3235,65.47,97.05,2515.42
